material,damping_kg_s,comparison,first_experiment,second_experiment,time_s,position_rms_m,velocity_rms_m_s,position_max_m,velocity_max_m_s,com_position_difference_m,com_velocity_difference_m_s,internal_kinetic_difference_j,body_elastic_difference_j
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0001,9.672677970807343e-16,0.0,1.3732700395566711e-15,0.0,5.150936895155249e-16,0.0,0.0,2.04739375744712e-18
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0002,9.171896199635918e-16,7.834857227432894e-11,2.489661208481162e-15,1.4205058230925358e-09,6.16150870091073e-16,5.551115123125783e-17,5.021564822101801e-19,1.37322761938334e-18
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0003,8.749026833425155e-16,1.0452318603867418e-10,2.8812707309937362e-15,2.2713948444056314e-09,6.233191867098198e-16,5.551115123125783e-17,8.93721443113496e-19,1.31579347306512e-18
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0004,8.644396803367614e-16,1.1275035380131028e-10,3.682507016207763e-15,2.3198247273481182e-09,6.235631026817059e-16,8.326672684688674e-17,1.0385966280814335e-18,1.25338792458083e-18
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0005,9.240504308221075e-16,1.4810707540493651e-10,3.515219270996975e-15,3.067777103837189e-09,6.248021086898131e-16,5.20740757162067e-16,1.7838378014252394e-18,1.3878007155938201e-18
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0006,9.029725631763817e-16,1.5700143315047226e-10,5.5015058715799556e-15,3.6014572865587366e-09,6.235993399155125e-16,4.379755957367587e-16,2.0279252143440316e-18,1.48309750189639e-18
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0007,8.806529105839666e-16,1.572963324396818e-10,3.972757644415143e-15,3.2705487329763124e-09,6.229309717545164e-16,4.552252871008668e-16,2.012624029928506e-18,1.48457271608458e-18
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0008,9.598280937671747e-16,1.4704018881704865e-10,4.565517999319921e-15,3.787325384416496e-09,6.202147379674622e-16,6.871957671317179e-16,1.739134072280413e-18,1.8097031657668897e-18
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0009,9.454977917457053e-16,1.657056129597811e-10,5.077620660557215e-15,4.0206746731597806e-09,6.192518302661935e-16,9.371360918460988e-16,2.210677114811139e-18,1.87963981132549e-18
glass,10000,fixed_comparison,adaptive-1000,fixed,0.001,9.770436234671823e-16,1.4553770772230964e-10,5.678576427667798e-15,3.0010179181486427e-09,6.171173739951275e-16,2.97322581626056e-13,1.7122273311592799e-18,2.4196279781954e-18
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0011,3.458674243430426e-09,0.000799076476154399,1.834139662683308e-08,0.014311905474656281,4.4231767124344734e-11,2.2680150173481906e-06,3.361298277942959e-05,0.000562679750000239
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0012,4.363779793644782e-09,0.00105539757958293,3.077863308727413e-08,0.013999794449668885,2.8729638032044096e-11,5.167257941529613e-07,0.00012951125603891112,4.955860000155354e-06
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0013,5.918222808466267e-09,0.0016098343407444878,2.736771227891172e-08,0.029934147446228663,7.426124754417329e-11,6.219266653312294e-06,0.0003926369979253552,0.0015630361699998652
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0014,5.108956933742812e-09,0.001082171418338744,3.030196921423674e-08,0.01430083405172061,4.709554925217094e-11,3.402661187132394e-06,1.0052098541490917e-05,0.0007592691400000184
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0015,3.2070719765995655e-09,0.0008799255873284528,2.674872490197284e-08,0.01472363769546262,2.05140364982259e-10,1.3579698028842735e-06,5.704110855447864e-05,0.002434497099999877
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0016,2.062603552379693e-09,0.0005188341902224032,1.856227401595632e-08,0.005666696235733799,3.0941112779596494e-10,9.558934419562348e-07,7.274440473577226e-05,0.0006367894899999005
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0017,9.681347453821415e-10,0.00028760749007338953,8.498212198488184e-09,0.0094207838917165,3.455750282291969e-10,2.5629069100308044e-07,4.483624105774964e-05,9.139381900002963e-05
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0018,2.0605794053921317e-09,0.0005316707954236454,1.5534322309248846e-08,0.011922414647251819,3.4473039613923746e-10,1.141514660700687e-10,9.409155012354842e-05,2.784668399999357e-05
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0019,3.360520704579735e-09,0.0009490939188512372,1.409615185429903e-08,0.01597983781347877,3.4471897959878755e-10,1.1415535185065444e-10,0.00010414004008924005,0.0001703849059999929
glass,10000,fixed_comparison,adaptive-1000,fixed,0.002,5.098619580812832e-09,0.0014181013929787133,2.3360523265791855e-08,0.03235559161829139,3.4470756869619076e-10,1.1414047486212612e-10,0.0002535872576843734,0.00031983212500000247
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0021,5.429950326252388e-09,0.0012944862861043094,3.928254553660462e-08,0.0315334622560145,3.4469615768516774e-10,1.1413148205562765e-10,0.0004094369525179664,0.0003431920849999992
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0022,6.380933589179832e-09,0.001694921498866156,3.694247386126836e-08,0.029442979845100282,3.446847433131173e-10,1.1418255231475475e-10,0.0004079042517925041,0.0004741491199999892
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0023,7.189663488080887e-09,0.0019887852591942007,5.228891539435647e-08,0.04104887574610326,3.4467332265269224e-10,1.14208753578133e-10,0.0003279893312537474,0.0003942341990000042
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0024,7.125122607381429e-09,0.001855597121128682,8.512520822051825e-08,0.025925495202100097,3.4466190177542527e-10,1.1421341651483591e-10,0.0008264445406099274,0.0008926894090000026
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0025,8.808926326958082e-09,0.0018169393286581288,1.0164152971548928e-07,0.023278428747356847,3.4465048377130254e-10,1.142103078903673e-10,0.00015121383885355333,8.496897300000472e-05
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0026,8.399166422219469e-09,0.0022856991371855524,1.0020575411851923e-07,0.031494893077322915,3.446390574188193e-10,1.1424039493383231e-10,0.00039721833375291893,0.0004634631799999983
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0027,9.192932304029665e-09,0.002328931144918147,6.566537740293318e-08,0.04547337778119659,3.4462763025317865e-10,1.1422507385659319e-10,0.0002842367180259653,0.00035048156699998834
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0028,1.0055997405187544e-08,0.0023952969403804453,9.946143168741993e-08,0.03003939996907505,3.4461620623172585e-10,1.1425727032430375e-10,0.00025746426882192197,0.0001912194210000051
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0029,1.1564434268670544e-08,0.0025739105452346747,1.3536638934279868e-07,0.024612067553337457,3.4460478356552685e-10,1.1428769043517512e-10,0.0004391104890209552,0.0005053553368000036
glass,10000,fixed_comparison,adaptive-1000,fixed,0.003,1.2214182746189704e-08,0.0033167982946961006,9.460239546261739e-08,0.036610814143739116,3.445933561017279e-10,1.142569372573964e-10,0.0004625185630871831,0.0005287634120000051
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0031,1.5619596500303098e-08,0.0035500765226916414,1.0716963824932236e-07,0.04638307299953878,3.4458193484159884e-10,1.1418566093922336e-10,0.0007867105386044626,0.0007204656870000159
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0032,1.8243120766444812e-08,0.0038586908683441684,1.4722877638430124e-07,0.04037343196275058,3.445705221669959e-10,1.1413681112614526e-10,0.0002575250265129392,0.0003237698779999798
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0033,2.069596625359557e-08,0.004311556736385711,1.033412785666045e-07,0.03185784284210948,3.4455911580448617e-10,1.1407641499361234e-10,0.0011789432560632418,0.001112698398999995
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0034,2.352281821233793e-08,0.00543844093007166,1.172146781991314e-07,0.039650434605366686,3.4454770243532044e-10,1.1412526480669043e-10,0.0006103584434113962,0.0006766032999999949
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0035,2.69032604548616e-08,0.005652225055866061,1.1289140616535632e-07,0.077878870743173,3.4453628605749745e-10,1.1416201318880146e-10,0.0008993341288275614,0.0009655789859999986
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0036,2.9550585979540447e-08,0.006428127810532432,1.406811995230406e-07,0.06414141074406482,3.445248733117462e-10,1.1417600199827594e-10,0.0017274421723843525,0.0016611973142000025
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0037,3.0363425935123644e-08,0.007256126893356845,1.3150007716067336e-07,0.04362425510713777,3.445134595360079e-10,1.1423240132792098e-10,0.00021564328419998446,0.0001493984299999751
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0038,3.3254572136179073e-08,0.007351866563215762,1.1705886338231141e-07,0.04229091946397032,3.445020316114315e-10,1.1423084701568666e-10,0.0004532551743016422,0.00038701032299998106
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0039,3.6996025213281064e-08,0.007609062154774942,1.1632730367860945e-07,0.04775964427583273,3.444906005426647e-10,1.142815842079067e-10,0.0014022228373309908,0.0013359779861999987
