material,resolution,cells,dt_s,window_from_s,window_to_s,steps_in_window,repeats,wall_per_step_ms,wall_per_step_spread_ms,realtime_ratio_as_run,resolved_max_step_s,required_substeps,status
glass,6x9x2,108,0.00416667,0.1,0.5,96,3,0.3043,0.0189,0.07304,6.62341e-07,6291,ok
glass,6x9x2,108,0.00208333,0.1,0.5,192,3,0.3228,0.0305,0.155,6.62341e-07,3146,ok
glass,6x9x2,108,0.00104167,0.1,0.5,384,3,0.3333,0.0151,0.32,6.62341e-07,1573,ok
glass,6x9x2,108,0.000520833,0.1,0.5,768,3,0.3382,0.0137,0.6493,6.62341e-07,787,ok
glass,6x9x2,108,0.000208333,0.1,0.5,1920,3,0.3327,0.0101,1.597,6.62341e-07,315,ok
glass,6x9x2,108,0.00208333,0.5,1.0,240,3,0.0402,0.0556,0.01928,6.62341e-07,3146,ok
glass,6x9x2,108,0.00208333,1.0,2.0,480,3,0.0447,0.0031,0.02146,6.62341e-07,3146,ok
oak,6x9x2,108,0.00208333,0.1,0.5,192,3,0.3558,0.0126,0.1708,1.65001e-06,1263,ok
iron,6x9x2,108,0.00208333,0.1,0.5,192,3,0.3296,0.0102,0.1582,6.76872e-07,3078,ok
glass,4x6x2,48,0.00208333,0.1,0.5,192,3,0.1629,0.0145,0.07818,8.86143e-07,2352,ok
glass,5x7x2,70,0.00208333,0.1,0.5,192,3,0.2292,0.0115,0.11,7.74473e-07,2691,ok
glass,8x12x3,288,0.00208333,0.1,0.5,192,3,1.8835,0.0396,0.9041,3.97398e-07,5243,ok
glass,10x15x4,600,0.00208333,0.1,0.5,192,3,5.0083,0.4085,2.404,3.11407e-07,6691,ok
glass,10x16x5,800,0.00208333,0.1,0.5,192,3,9.1106,2.9868,4.373,2.8334e-07,7353,ok
oak,4x6x2,,0.0020833333333333333,0.1,0.5,192,3,,,,,,not-run:network cohesive law requires df greater than d0
oak,5x7x2,70,0.00208333,0.1,0.5,192,3,0.2514,0.0027,0.1207,1.92451e-06,1083,ok
oak,8x12x3,288,0.00208333,0.1,0.5,192,3,1.8091,0.0455,0.8684,1.05415e-06,1977,ok
oak,10x15x4,600,0.00208333,0.1,0.5,192,3,5.0666,0.1050,2.432,8.2179e-07,2536,ok
oak,10x16x5,800,0.00208333,0.1,0.5,192,3,8.9666,2.2140,4.304,7.3379e-07,2840,ok
iron,4x6x2,48,0.00208333,0.1,0.5,192,3,0.1665,0.0359,0.07992,9.05584e-07,2301,ok
iron,5x7x2,70,0.00208333,0.1,0.5,192,3,0.2312,0.0123,0.111,7.91464e-07,2633,ok
iron,8x12x3,288,0.00208333,0.1,0.5,192,3,2.3307,0.7897,1.119,4.06116e-07,5130,ok
iron,10x15x4,600,0.00208333,0.1,0.5,192,3,5.8813,1.1440,2.823,3.18239e-07,6547,ok
iron,10x16x5,800,0.00208333,0.1,0.5,192,3,8.7993,0.2147,4.224,2.89556e-07,7195,ok
