material,voxel_size_m,nodes,dt_s,simulated_s,block_from_s,block_to_s,block_ratio,block_wall_med_ms_per_step,block_linear_min,block_linear_max,whole_run_ratio,accepted_steps,status
glass,0.065,365,0.00833333,4.0,0.000,0.500,0.8604,6.9503,188,226,0.9971,480/480,ok
glass,0.065,365,0.00833333,4.0,0.500,1.000,1.001,8.1639,218,251,0.9971,480/480,ok
glass,0.065,365,0.00833333,4.0,1.000,1.500,1.048,8.4860,223,254,0.9971,480/480,ok
glass,0.065,365,0.00833333,4.0,1.500,2.000,1.059,8.4430,229,254,0.9971,480/480,ok
glass,0.065,365,0.00833333,4.0,2.000,2.500,1.031,8.2988,224,254,0.9971,480/480,ok
glass,0.065,365,0.00833333,4.0,2.500,3.000,1.02,8.3778,222,254,0.9971,480/480,ok
glass,0.065,365,0.00833333,4.0,3.000,3.500,0.9786,8.0359,221,251,0.9971,480/480,ok
glass,0.065,365,0.00833333,4.0,3.500,4.000,0.9786,7.8699,220,255,0.9971,480/480,ok
oak,0.065,365,0.00833333,4.0,0.000,0.500,0.8044,6.4546,184,194,0.8158,480/480,ok
oak,0.065,365,0.00833333,4.0,0.500,1.000,0.8133,6.4264,188,192,0.8158,480/480,ok
oak,0.065,365,0.00833333,4.0,1.000,1.500,0.823,6.5336,186,194,0.8158,480/480,ok
oak,0.065,365,0.00833333,4.0,1.500,2.000,0.8462,6.6998,188,220,0.8158,480/480,ok
oak,0.065,365,0.00833333,4.0,2.000,2.500,0.8297,6.4504,187,221,0.8158,480/480,ok
oak,0.065,365,0.00833333,4.0,2.500,3.000,0.8333,6.3970,188,198,0.8158,480/480,ok
oak,0.065,365,0.00833333,4.0,3.000,3.500,0.7914,6.2515,189,196,0.8158,480/480,ok
oak,0.065,365,0.00833333,4.0,3.500,4.000,0.7851,6.3341,189,197,0.8158,480/480,ok
iron,0.065,365,0.00833333,4.0,0.000,0.500,0.9268,7.4889,188,250,1.005,480/480,ok
iron,0.065,365,0.00833333,4.0,0.500,1.000,1.022,8.3061,218,251,1.005,480/480,ok
iron,0.065,365,0.00833333,4.0,1.000,1.500,1.055,8.4521,221,252,1.005,480/480,ok
iron,0.065,365,0.00833333,4.0,1.500,2.000,1.051,8.3016,220,252,1.005,480/480,ok
iron,0.065,365,0.00833333,4.0,2.000,2.500,0.9465,7.6472,219,252,1.005,480/480,ok
iron,0.065,365,0.00833333,4.0,2.500,3.000,1.028,8.2279,220,254,1.005,480/480,ok
iron,0.065,365,0.00833333,4.0,3.000,3.500,1.003,8.1626,221,256,1.005,480/480,ok
iron,0.065,365,0.00833333,4.0,3.500,4.000,1.01,8.2558,225,258,1.005,480/480,ok
glass,0.06,461,0.00833333,4.0,0.000,0.500,1.584,13.2727,257,335,1.653,480/480,ok
glass,0.06,461,0.00833333,4.0,0.500,1.000,1.655,13.5340,295,337,1.653,480/480,ok
glass,0.06,461,0.00833333,4.0,1.000,1.500,1.706,13.7973,299,339,1.653,480/480,ok
glass,0.06,461,0.00833333,4.0,1.500,2.000,1.642,13.5190,266,337,1.653,480/480,ok
glass,0.06,461,0.00833333,4.0,2.000,2.500,1.659,13.5160,299,340,1.653,480/480,ok
glass,0.06,461,0.00833333,4.0,2.500,3.000,1.701,13.7775,298,341,1.653,480/480,ok
glass,0.06,461,0.00833333,4.0,3.000,3.500,1.654,13.4307,269,340,1.653,480/480,ok
glass,0.06,461,0.00833333,4.0,3.500,4.000,1.619,13.2088,295,337,1.653,480/480,ok
glass,0.04,1285,0.00416667,4.0,0.000,0.500,13.84,51.7891,296,979,14.53,960/960,ok
glass,0.04,1285,0.00416667,4.0,0.500,1.000,18.18,60.8384,364,937,14.53,960/960,ok
glass,0.04,1285,0.00416667,4.0,1.000,1.500,15.53,58.1586,364,969,14.53,960/960,ok
glass,0.04,1285,0.00416667,4.0,1.500,2.000,13.46,53.4551,290,933,14.53,960/960,ok
glass,0.04,1285,0.00416667,4.0,2.000,2.500,16.65,60.3905,370,933,14.53,960/960,ok
glass,0.04,1285,0.00416667,4.0,2.500,3.000,15.22,58.5080,204,932,14.53,960/960,ok
glass,0.04,1285,0.00416667,4.0,3.000,3.500,12.89,53.1980,211,928,14.53,960/960,ok
glass,0.04,1285,0.00416667,4.0,3.500,4.000,10.44,43.7210,204,928,14.53,960/960,ok
glass,0.07,275,0.00833333,4.0,0.000,0.500,0.5863,4.4156,168,175,0.5813,480/480,ok
glass,0.07,275,0.00833333,4.0,0.500,1.000,0.5706,4.4805,174,177,0.5813,480/480,ok
glass,0.07,275,0.00833333,4.0,1.000,1.500,0.5956,4.6133,169,176,0.5813,480/480,ok
glass,0.07,275,0.00833333,4.0,1.500,2.000,0.5844,4.5839,172,176,0.5813,480/480,ok
glass,0.07,275,0.00833333,4.0,2.000,2.500,0.5837,4.5434,171,176,0.5813,480/480,ok
glass,0.07,275,0.00833333,4.0,2.500,3.000,0.5818,4.4820,171,176,0.5813,480/480,ok
glass,0.07,275,0.00833333,4.0,3.000,3.500,0.574,4.4217,171,176,0.5813,480/480,ok
glass,0.07,275,0.00833333,4.0,3.500,4.000,0.574,4.4455,170,176,0.5813,480/480,ok
oak,0.07,275,0.00833333,4.0,0.000,0.500,0.5983,4.8841,163,174,0.5893,480/480,ok
oak,0.07,275,0.00833333,4.0,0.500,1.000,0.5912,4.6749,169,175,0.5893,480/480,ok
oak,0.07,275,0.00833333,4.0,1.000,1.500,0.5974,4.6342,166,191,0.5893,480/480,ok
oak,0.07,275,0.00833333,4.0,1.500,2.000,0.5877,4.5866,173,174,0.5893,480/480,ok
oak,0.07,275,0.00833333,4.0,2.000,2.500,0.5879,4.5637,167,188,0.5893,480/480,ok
oak,0.07,275,0.00833333,4.0,2.500,3.000,0.5941,4.5630,165,194,0.5893,480/480,ok
oak,0.07,275,0.00833333,4.0,3.000,3.500,0.6012,4.6310,168,193,0.5893,480/480,ok
oak,0.07,275,0.00833333,4.0,3.500,4.000,0.5568,4.4095,171,174,0.5893,480/480,ok
iron,0.07,275,0.00833333,4.0,0.000,0.500,0.6128,4.7821,168,175,0.5861,480/480,ok
iron,0.07,275,0.00833333,4.0,0.500,1.000,0.6325,4.7928,173,176,0.5861,480/480,ok
iron,0.07,275,0.00833333,4.0,1.000,1.500,0.5786,4.6034,168,176,0.5861,480/480,ok
iron,0.07,275,0.00833333,4.0,1.500,2.000,0.5803,4.6078,173,176,0.5861,480/480,ok
iron,0.07,275,0.00833333,4.0,2.000,2.500,0.5997,4.6345,169,176,0.5861,480/480,ok
iron,0.07,275,0.00833333,4.0,2.500,3.000,0.5749,4.4600,170,175,0.5861,480/480,ok
iron,0.07,275,0.00833333,4.0,3.000,3.500,0.5404,4.4449,171,176,0.5861,480/480,ok
iron,0.07,275,0.00833333,4.0,3.500,4.000,0.57,4.4219,171,176,0.5861,480/480,ok
glass,0.075,251,0.0166667,4.0,0.000,0.500,0.4241,6.6729,285,310,0.4088,240/240,ok
glass,0.075,251,0.0166667,4.0,0.500,1.000,0.4297,6.9723,179,334,0.4088,240/240,ok
glass,0.075,251,0.0166667,4.0,1.000,1.500,0.4146,6.5145,179,382,0.4088,240/240,ok
glass,0.075,251,0.0166667,4.0,1.500,2.000,0.3909,6.3670,179,311,0.4088,240/240,ok
glass,0.075,251,0.0166667,4.0,2.000,2.500,0.4025,6.4783,179,310,0.4088,240/240,ok
glass,0.075,251,0.0166667,4.0,2.500,3.000,0.4064,6.3403,282,311,0.4088,240/240,ok
glass,0.075,251,0.0166667,4.0,3.000,3.500,0.4072,6.4611,283,311,0.4088,240/240,ok
glass,0.075,251,0.0166667,4.0,3.500,4.000,0.395,6.2110,283,310,0.4088,240/240,ok
oak,0.075,251,0.0166667,4.0,0.000,0.500,0.2827,4.4858,196,203,0.2835,240/240,ok
oak,0.075,251,0.0166667,4.0,0.500,1.000,0.2739,4.3438,197,201,0.2835,240/240,ok
oak,0.075,251,0.0166667,4.0,1.000,1.500,0.2913,4.4185,197,199,0.2835,240/240,ok
oak,0.075,251,0.0166667,4.0,1.500,2.000,0.2794,4.4348,198,199,0.2835,240/240,ok
oak,0.075,251,0.0166667,4.0,2.000,2.500,0.2876,4.4309,198,199,0.2835,240/240,ok
oak,0.075,251,0.0166667,4.0,2.500,3.000,0.2744,4.3538,199,200,0.2835,240/240,ok
oak,0.075,251,0.0166667,4.0,3.000,3.500,0.2962,4.4725,197,199,0.2835,240/240,ok
oak,0.075,251,0.0166667,4.0,3.500,4.000,0.2822,4.3504,198,199,0.2835,240/240,ok
iron,0.075,251,0.0166667,4.0,0.000,0.500,0.3862,6.3521,181,313,0.3945,240/240,ok
iron,0.075,251,0.0166667,4.0,0.500,1.000,0.397,6.3110,179,331,0.3945,240/240,ok
iron,0.075,251,0.0166667,4.0,1.000,1.500,0.4056,6.4845,199,306,0.3945,240/240,ok
iron,0.075,251,0.0166667,4.0,1.500,2.000,0.3819,6.5560,179,290,0.3945,240/240,ok
iron,0.075,251,0.0166667,4.0,2.000,2.500,0.3793,6.2831,179,306,0.3945,240/240,ok
iron,0.075,251,0.0166667,4.0,2.500,3.000,0.3884,6.3161,178,310,0.3945,240/240,ok
iron,0.075,251,0.0166667,4.0,3.000,3.500,0.4035,6.3348,178,312,0.3945,240/240,ok
iron,0.075,251,0.0166667,4.0,3.500,4.000,0.4142,6.3393,178,310,0.3945,240/240,ok
glass,0.08,179,0.0166667,4.0,0.000,0.500,0.1988,2.8182,178,181,0.184,240/240,ok
glass,0.08,179,0.0166667,4.0,0.500,1.000,0.185,2.8741,179,181,0.184,240/240,ok
glass,0.08,179,0.0166667,4.0,1.000,1.500,0.1865,2.8083,180,181,0.184,240/240,ok
glass,0.08,179,0.0166667,4.0,1.500,2.000,0.179,2.8279,180,181,0.184,240/240,ok
glass,0.08,179,0.0166667,4.0,2.000,2.500,0.1838,2.8176,180,180,0.184,240/240,ok
glass,0.08,179,0.0166667,4.0,2.500,3.000,0.1851,2.7904,179,181,0.184,240/240,ok
glass,0.08,179,0.0166667,4.0,3.000,3.500,0.1797,2.8598,180,181,0.184,240/240,ok
glass,0.08,179,0.0166667,4.0,3.500,4.000,0.1743,2.8338,180,180,0.184,240/240,ok
oak,0.08,179,0.0166667,4.0,0.000,0.500,0.178,2.8176,176,180,0.1843,240/240,ok
oak,0.08,179,0.0166667,4.0,0.500,1.000,0.1926,2.9258,177,179,0.1843,240/240,ok
oak,0.08,179,0.0166667,4.0,1.000,1.500,0.1884,2.8276,178,180,0.1843,240/240,ok
oak,0.08,179,0.0166667,4.0,1.500,2.000,0.1774,2.8111,178,179,0.1843,240/240,ok
oak,0.08,179,0.0166667,4.0,2.000,2.500,0.1847,2.8186,178,178,0.1843,240/240,ok
oak,0.08,179,0.0166667,4.0,2.500,3.000,0.1895,2.8047,178,179,0.1843,240/240,ok
oak,0.08,179,0.0166667,4.0,3.000,3.500,0.1828,2.8080,178,179,0.1843,240/240,ok
oak,0.08,179,0.0166667,4.0,3.500,4.000,0.1813,2.7858,178,179,0.1843,240/240,ok
iron,0.08,179,0.0166667,4.0,0.000,0.500,0.1826,2.8123,179,182,0.1832,240/240,ok
iron,0.08,179,0.0166667,4.0,0.500,1.000,0.1868,2.9204,179,181,0.1832,240/240,ok
iron,0.08,179,0.0166667,4.0,1.000,1.500,0.1976,2.9846,180,181,0.1832,240/240,ok
iron,0.08,179,0.0166667,4.0,1.500,2.000,0.1822,2.7955,179,181,0.1832,240/240,ok
iron,0.08,179,0.0166667,4.0,2.000,2.500,0.1766,2.8051,179,181,0.1832,240/240,ok
iron,0.08,179,0.0166667,4.0,2.500,3.000,0.1835,2.8347,179,181,0.1832,240/240,ok
iron,0.08,179,0.0166667,4.0,3.000,3.500,0.1759,2.7984,179,180,0.1832,240/240,ok
iron,0.08,179,0.0166667,4.0,3.500,4.000,0.1802,2.7988,179,181,0.1832,240/240,ok
