"material","experiment","voxel_size_m","dt_s","steps","restitution","exit_code","elapsed_s","commit","dirty_source","started_utc","command","log","summary"
"glass","free","0.12","0.002","1","1","0","0.022024","b31a8a5cf51d09dc725fe1448c9eb27254aeb2ea","False","2026-09-05T03:22:11.2425548Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case free --step-mode raw --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1","C:\Users\henry\dev\banjo-integration\build\event-root-probes\coarse-matrix\glass-free.txt","balance-P=1.74046714305e-14 balance-L=1.53527927876e-12 balance-E=-2.13162820728e-14 normal-loss=0 impact-loss=0 support-impulse-y=0 final-COM-vy=-0.1"
"glass","raw-floor","0.12","0.002","1","1","0","0.0224933","b31a8a5cf51d09dc725fe1448c9eb27254aeb2ea","False","2026-09-05T03:22:11.2762115Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode raw --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1","C:\Users\henry\dev\banjo-integration\build\event-root-probes\coarse-matrix\glass-raw-floor.txt","balance-P=1.90470519592e-12 balance-L=1.04935405887e-13 balance-E=6.96331881045e-13 normal-loss=81.5059879323 impact-loss=0 support-impulse-y=163.011975865 final-COM-vy=-0.00213041219009"
"glass","event-floor","0.12","0.002","1","1","0","0.1687217","b31a8a5cf51d09dc725fe1448c9eb27254aeb2ea","False","2026-09-05T03:22:11.2995215Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode events --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1","C:\Users\henry\dev\banjo-integration\build\event-root-probes\coarse-matrix\glass-event-floor.txt","balance-P=1.51769654623e-08 balance-L=5.58481343779e-12 balance-E=-8.68932659159e-09 normal-loss=0 impact-loss=0 support-impulse-y=180.605089969 final-COM-vy=0.10556494848"
"glass","event-half-step","0.12","0.001","2","1","0","0.1825749","b31a8a5cf51d09dc725fe1448c9eb27254aeb2ea","False","2026-09-05T03:22:11.4688737Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode events --voxel-size 0.12 --dt 0.001 --steps 2 --gap 0.001 --speed 1 --restitution 1","C:\Users\henry\dev\banjo-integration\build\event-root-probes\coarse-matrix\glass-event-half-step.txt","balance-P=1.51769654623e-08 balance-L=5.58481343779e-12 balance-E=-8.68932659159e-09 normal-loss=0 impact-loss=0 support-impulse-y=180.605089969 final-COM-vy=0.10556494848"
"glass","event-quarter-step","0.12","0.0005","4","1","0","0.1782075","b31a8a5cf51d09dc725fe1448c9eb27254aeb2ea","False","2026-09-05T03:22:11.6637123Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode events --voxel-size 0.12 --dt 0.0005 --steps 4 --gap 0.001 --speed 1 --restitution 1","C:\Users\henry\dev\banjo-integration\build\event-root-probes\coarse-matrix\glass-event-quarter-step.txt","balance-P=1.51423762419e-08 balance-L=5.58920218031e-12 balance-E=-8.83852635525e-09 normal-loss=0 impact-loss=0 support-impulse-y=201.027608 final-COM-vy=0.230580362483"
"glass","event-loss","0.12","0.002","1","0.3","2","0.2214606","b31a8a5cf51d09dc725fe1448c9eb27254aeb2ea","False","2026-09-05T03:22:11.8427740Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode events --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 0.3","C:\Users\henry\dev\banjo-integration\build\event-root-probes\coarse-matrix\glass-event-loss.txt","advance_failure=substep budget last_trial_accepted=1 last_velocity_residual=5.23962145687e-17 remaining_s=0.000986044455182 last_dt_s=2.55511776284e-13 gap_m=4.35762537165e-15 bracket_s=[0,0.000986044455437] bracket_gap_m=[4.35762537165e-15,-1.68164943236e-05]"
"oak","free","0.12","0.002","1","1","0","0.0124349","b31a8a5cf51d09dc725fe1448c9eb27254aeb2ea","False","2026-09-05T03:22:12.0653750Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case free --step-mode raw --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1","C:\Users\henry\dev\banjo-integration\build\event-root-probes\coarse-matrix\oak-free.txt","balance-P=7.1607233461e-15 balance-L=1.53230727933e-13 balance-E=0 normal-loss=0 impact-loss=0 support-impulse-y=0 final-COM-vy=-0.1"
"oak","raw-floor","0.12","0.002","1","1","0","0.0119749","b31a8a5cf51d09dc725fe1448c9eb27254aeb2ea","False","2026-09-05T03:22:12.0787597Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case floor --step-mode raw --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1","C:\Users\henry\dev\banjo-integration\build\event-root-probes\coarse-matrix\oak-raw-floor.txt","balance-P=3.19911954137e-13 balance-L=3.77596273585e-14 balance-E=4.26325641456e-13 normal-loss=22.7909371695 impact-loss=0 support-impulse-y=45.581874339 final-COM-vy=-0.00347448363286"
"oak","event-floor","0.12","0.002","1","1","0","0.178325","b31a8a5cf51d09dc725fe1448c9eb27254aeb2ea","False","2026-09-05T03:22:12.0918701Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case floor --step-mode events --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1","C:\Users\henry\dev\banjo-integration\build\event-root-probes\coarse-matrix\oak-event-floor.txt","balance-P=4.56059012777e-09 balance-L=1.7125749445e-12 balance-E=-2.57235660968e-09 normal-loss=0 impact-loss=-5.96855897462e-17 support-impulse-y=51.7205627612 final-COM-vy=0.130731486239"
"oak","event-half-step","0.12","0.001","2","1","0","0.1784912","b31a8a5cf51d09dc725fe1448c9eb27254aeb2ea","False","2026-09-05T03:22:12.2710805Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case floor --step-mode events --voxel-size 0.12 --dt 0.001 --steps 2 --gap 0.001 --speed 1 --restitution 1","C:\Users\henry\dev\banjo-integration\build\event-root-probes\coarse-matrix\oak-event-half-step.txt","balance-P=4.56059012777e-09 balance-L=1.7125749445e-12 balance-E=-2.57235660968e-09 normal-loss=0 impact-loss=-5.96855897462e-17 support-impulse-y=51.7205627612 final-COM-vy=0.130731486239"
